labels,X,Y,Z
Fp1,80.7840137690914,26.1330144040702,-4.00108454195971
Fpz,84.9812336134462,-0,-1.78603850374883
Fp2,80.7840137690914,-26.1330144040702,-4.00108454195971
F7,49.8713779489202,68.4233350269539,-7.48951836002624
F3,57.551063393099,48.2004273175388,39.8697116710185
Fz,60.7384809484625,-0,59.4629038314919
F4,57.5840261068105,-48.1425964684523,39.8919834378528
F8,49.9265268118817,-68.3835902976096,-7.48508507040089
FC5,28.7628234353576,76.2473645099531,24.1669069868857
FC1,32.4361838987395,32.3513771312283,71.5980612293391
FC2,32.4361838987395,-32.3513771312283,71.5980612293391
FC6,28.7628234353576,-76.2473645099531,24.1669069868857
vEOG,62.0389343399171,-31.6104159057016,-48.7539970898389
T7,5.17649253748256e-15,84.5385386396573,-8.84508251353112
C3,3.86812533613566e-15,63.1712807125907,56.8716914917349
Cz,5.20474889637625e-15,-0,85
C4,3.86788221025119e-15,-63.1673101655785,56.876101540503
T8,5.17649253748256e-15,-84.5385386396573,-8.84508251353112
hEOG,55.7734244580708,50.218616946387,-39.9050828368007
CP5,-28.7628234353576,76.2473645099531,24.1669069868857
CP1,-32.4361838987395,32.3513771312283,71.5980612293391
CP2,-32.4361838987395,-32.3513771312283,71.5980612293391
CP6,-28.7628234353576,-76.2473645099531,24.1669069868857
P7,-49.8713779489202,68.4233350269539,-7.48951836002624
P3,-57.551063393099,48.2004273175389,39.8697116710185
Pz,-60.7384809484625,-7.43831862786072e-15,59.4629038314919
P4,-57.5840261068105,-48.1425964684523,39.8919834378528
P8,-49.9265268118817,-68.3835902976096,-7.48508507040089
POz,-79.0255388591416,-9.67783732147425e-15,31.3043800133831
O1,-80.7840137690914,26.1330144040702,-4.00108454195971
Oz,-84.9812336134462,-1.040719957323e-14,-1.78603850374883
O2,-80.7840137690914,-26.1330144040702,-4.00108454195971
AF7,68.6910763510323,49.709431314888,-5.9588982276161
AF3,76.1527667684846,31.4827967984807,20.8468131677331
AF4,76.1527667684846,-31.4827967984807,20.8468131677331
AF8,68.7208994216315,-49.668904028116,-5.95297869371352
F5,54.0378881132511,63.0582218645482,18.1264255588676
F1,59.9127302448179,26.0420933899754,54.3808249889562
F2,59.8744127660118,-26.0254380421476,54.4309771236893
F6,54.0263340465386,-63.0447391225751,18.2075835425317
FC3,30.9552849531915,59.2749781760892,52.4713950232968
FCz,32.927883635256,-0,78.362966248752
FC4,30.9552849531915,-59.2749781760892,52.4713950232968
C5,4.94950482941819e-15,80.8315480490248,26.291839798656
C1,2.11480422795274e-15,34.5373740318457,77.6670444589234
C2,2.11920249382479e-15,-34.6092031645412,77.6350633175211
C6,4.94950482941819e-15,-80.8315480490248,26.291839798656
CP3,-30.9552849531915,59.2749781760892,52.4713950232968
CPz,-32.927883635256,-4.03250272966127e-15,78.362966248752
CP4,-30.9552849531915,-59.2749781760892,52.4713950232968
P5,-54.0378881132511,63.0582218645482,18.1264255588676
P1,-59.9127302448179,26.0420933899754,54.3808249889562
P2,-59.8744127660117,-26.0254380421476,54.4309771236893
P6,-54.0263340465386,-63.0447391225751,18.2075835425317
PO5,-72.8038985751152,42.9515511178202,8.93065556594885
PO3,-76.1527667684845,31.4827967984807,20.8468131677331
PO4,-76.1527667684845,-31.4827967984807,20.8468131677331
PO6,-72.8038985751152,-42.9515511178202,8.93065556594885
FT7,26.2075035325936,80.4100143118706,-8.5086048770556
FT8,26.2075035325936,-80.4100143118706,-8.5086048770556
TP7,-26.2075035325936,80.4100143118706,-8.5086048770556
TP8,-26.2847718099742,-80.385102119676,-8.50565271492099
PO7,-68.6910763510323,49.709431314888,-5.9588982276161
PO8,-68.7208994216315,-49.668904028116,-5.95297869371352
FT9,23.3016071805111,70.0757986822087,-42.0882114356943
FT10,23.3016071805111,-70.0757986822087,-42.0882114356943
TPP9h,-37.1858689856324,72.0740771910756,-25.4467786731103
TPP10h,-37.1547091476902,-72.1001324974237,-25.4184673417674
PO9,-61.5072664874117,43.5576310530885,-39.3012588384843
PO10,-61.5473386565498,-43.5247466822205,-39.2749478744977
P9,-44.4841053285474,59.7082740762203,-41.0010534005855
P10,-44.4841053285474,-59.7082740762203,-41.0010534005855
AFF1,70.4468573123136,21.6103872246409,42.3701718054059
AFz,79.0255388591416,-0,31.3043800133831
AFF2,70.4468573123136,-21.6103872246409,42.3701718054059
FFC5h,43.6368091245762,63.8805169953616,35.2151734033871
FFC3h,46.1908877303538,43.0435649127603,56.9091680687993
FFC4h,46.2147709253911,-42.9799998480427,56.9378131067208
FFC6h,43.6548186456673,-63.9068813776621,35.1449473124563
FCC5h,15.2299980512053,72.4909577633525,41.6906248683338
FCC3h,16.158006869295,49.1535309907104,67.4377431795956
FCC4h,16.158006869295,-49.1535309907104,67.4377431795956
FCC6h,15.2163177207202,-72.5138964237618,41.6557138993685
CCP5h,-15.2299980512052,72.4909577633525,41.6906248683338
CCP3h,-16.158006869295,49.1535309907104,67.4377431795956
CCP4h,-16.158006869295,-49.1535309907104,67.4377431795956
CCP6h,-15.2163177207202,-72.5138964237618,41.6557138993685
CPP5h,-43.6368091245762,63.8805169953616,35.2151734033871
CPP3h,-46.1908877303538,43.0435649127603,56.9091680687993
CPP4h,-46.2147709253911,-42.9799998480428,56.9378131067208
CPP6h,-43.6548186456673,-63.9068813776621,35.1449473124563
PPO1,-70.4287061302181,21.6895755169993,42.3598827514403
PPO2,-70.4468573123136,-21.6103872246409,42.3701718054059
I1,-72.9610350747245,22.9597337418158,-37.0747621344998
Iz,-77.6332510774614,-9.50733124394159e-15,-34.6132680795074
I2,-72.9610350747245,-22.9597337418158,-37.0747621344998
AFp3h,82.4453865648278,16.8471430341825,11.997166572233
AFp4h,82.4453865648278,-16.8471430341825,11.997166572233
AFF5h,66.3772293645093,47.8252338439422,23.0610153649741
AFF6h,66.3392407919537,-47.8841024036648,23.048164094837
FFT7h,40.3151752853013,74.5054019846461,6.97364444331134
FFC1h,47.6052106409955,15.1314455713857,68.7734198273333
FFC2h,47.6052106409955,-15.1314455713857,68.7734198273333
FFT8h,40.3151752853013,-74.5054019846461,6.97364444331134
FTT9h,12.8392820649814,79.8415148881816,-26.1817748904868
FTT7h,13.9560015409248,83.395988376261,8.67981242517605
FCC1h,16.7600777676817,17.3555685899218,81.5038896749215
FCC2h,16.7402888646686,-17.4200585813044,81.4941978778328
FTT8h,13.9423235683414,-83.3991972717988,8.67095772883629
FTT10h,12.8392820649814,-79.8415148881816,-26.1817748904868
TTP7h,-13.9560015409248,83.395988376261,8.67981242517605
CCP1h,-16.7600777676817,17.3555685899218,81.5038896749215
CCP2h,-16.7402888646686,-17.4200585813044,81.4941978778328
TTP8h,-13.9423235683414,-83.3991972717988,8.67095772883629
TPP7h,-40.3151752853013,74.5054019846461,6.97364444331134
CPP1h,-47.6052106409955,15.1314455713857,68.7734198273333
CPP2h,-47.6052106409955,-15.1314455713857,68.7734198273333
TPP8h,-40.3151752853013,-74.5054019846461,6.97364444331134
PPO9h,-58.0857671244985,57.2343727312293,-23.984791756887
PPO5h,-66.3772293645093,47.8252338439422,23.0610153649741
PPO6h,-66.3392407919537,-47.8841024036648,23.048164094837
PPO10h,-58.0408159887912,-57.2739952725793,-23.9990238316445
POO9h,-73.3776027160032,36.8168769471422,-22.0282770890368
POO3h,-82.4453865648278,16.8471430341825,11.997166572233
POO4h,-82.4453865648278,-16.8471430341825,11.997166572233
POO10h,-73.3574514926033,-36.8484445540023,-22.0426052103867
OI1h,-81.6898426882848,12.7513909643895,-19.7274334376415
OI2h,-81.6844356446207,-12.7636908698834,-19.7418633567823
